person,skill,level
Mia Johnson 1,Machine Learning for Finance,Advanced
Mia Johnson 1,Statistics Advanced,Advanced
Mia Johnson 1,GANs (Practical),Advanced
Mia Johnson 1,Airflow - Best Practices,Expert
Mia Johnson 1,NumPy (Practical),Advanced
Rowan Lewis 2,Spark Streaming,Intermediate
Rowan Lewis 2,Statistics (Intro),Advanced
Rowan Lewis 2,Node.js - Best Practices,Advanced
Rowan Lewis 2,NumPy Fundamentals,Intermediate
Riley Martin 3,Cloud Computing - Best Practices,Beginner
Riley Martin 3,Docker - Best Practices,Expert
Riley Martin 3,Tableau for Finance,Advanced
Riley Jackson 4,Tableau,Beginner
Riley Jackson 4,Azure - Best Practices,Beginner
Riley Jackson 4,BigQuery Advanced,Advanced
Riley Jackson 4,Cloud Computing - Best Practices,Intermediate
Riley Jackson 4,Docker for Healthcare,Advanced
Riley Jackson 4,Airflow for Finance,Intermediate
Olivia Martinez 5,AWS (Practical),Expert
Olivia Martinez 5,TensorFlow Advanced,Intermediate
Olivia Martinez 5,SQL (Practical),Expert
Charlie Lee 6,React for Finance,Intermediate
Charlie Lee 6,Computer Vision for Finance,Intermediate
Charlie Lee 6,Kubernetes for Finance,Beginner
Charlie Lee 6,React,Beginner
Charlie Lee 6,Java (Intro),Expert
Charlie Lee 6,Pandas Advanced,Expert
Harper Johnson 7,Pandas for Finance,Beginner
Harper Johnson 7,Reinforcement Learning (Practical),Beginner
Harper Johnson 7,PyTorch for Healthcare,Beginner
Emma Hall 8,Data Visualization Fundamentals,Expert
Emma Hall 8,C++ (Intro),Intermediate
Emma Hall 8,Time Series Fundamentals,Expert
Emma Hall 8,Microservices for Finance,Beginner
Taylor Young 9,Scikit-Learn (Practical),Expert
Taylor Young 9,C++ for Finance,Beginner
Taylor Young 9,GANs,Advanced
Taylor Young 9,PyTorch for Finance,Beginner
Taylor Young 9,PowerBI - Best Practices,Beginner
Taylor Young 9,Docker (Intro),Beginner
Dylan Singh 10,Apache Spark,Intermediate
Dylan Singh 10,Docker (Practical),Intermediate
Dylan Singh 10,CI/CD (Intro),Beginner
Charlie Green 11,ETL Fundamentals,Beginner
Charlie Green 11,Computer Vision for Healthcare,Advanced
Charlie Green 11,Python - Best Practices,Beginner
Charlie Green 11,MLOps,Beginner
Casey Brown 12,Reinforcement Learning for Healthcare,Intermediate
Casey Brown 12,Kafka (Intro),Beginner
Casey Brown 12,Scikit-Learn Advanced,Advanced
Anu Anderson 13,Time Series for Finance,Intermediate
Anu Anderson 13,PowerBI (Practical),Advanced
Anu Anderson 13,Probability Fundamentals,Advanced
Anu Anderson 13,AWS for Healthcare,Intermediate
Anu Anderson 13,Deep Learning (Intro),Expert
Anu Anderson 13,NumPy Fundamentals,Expert
Anu Anderson 13,Pandas for Finance,Advanced
Sofia Scott 14,Cloud Computing Fundamentals,Advanced
Sofia Scott 14,Tableau (Intro),Expert
Sofia Scott 14,GCP Fundamentals,Beginner
Sofia Scott 14,MLOps (Intro),Advanced
Sofia Scott 14,Deep Learning for Finance,Intermediate
Mateo Moore 15,Probability for Finance,Expert
Mateo Moore 15,Microservices,Advanced
Mateo Moore 15,Snowflake - Best Practices,Expert
Mateo Moore 15,Computer Vision - Best Practices,Beginner
Zoe Wright 16,Kubernetes - Best Practices,Intermediate
Zoe Wright 16,Apache Spark - Best Practices,Beginner
Zoe Wright 16,Linux (Practical),Intermediate
Zoe Wright 16,SQL for Healthcare,Intermediate
Zoe Wright 16,Deep Learning for Finance,Intermediate
Zoe Wright 16,JavaScript,Expert
Zoe Wright 16,Computer Vision for Healthcare,Advanced
Avery Brown 17,Probability (Intro),Expert
Avery Brown 17,Apache Spark Advanced,Beginner
Avery Brown 17,Cloud Computing,Intermediate
Avery Brown 17,Tableau Fundamentals,Expert
Avery Brown 17,Reinforcement Learning - Best Practices,Expert
Avery Brown 17,C++ (Intro),Expert
Li Garcia 18,Probability Fundamentals,Expert
Li Garcia 18,Computer Vision for Healthcare,Expert
Li Garcia 18,Hadoop - Best Practices,Beginner
Li Garcia 18,GANs - Best Practices,Expert
Li Garcia 18,PyTorch - Best Practices,Expert
Li Garcia 18,Apache Spark Advanced,Advanced
Li Garcia 18,Airflow,Expert
Sam Green 19,ETL for Finance,Expert
Sam Green 19,CI/CD (Practical),Expert
Sam Green 19,AWS Fundamentals,Advanced
Sam Green 19,Machine Learning (Intro),Expert
Sam Green 19,JavaScript Fundamentals,Expert
Hana Moore 20,PyTorch (Intro),Beginner
Hana Moore 20,Probability - Best Practices,Beginner
Hana Moore 20,Node.js Advanced,Expert
Hana Moore 20,PyTorch for Healthcare,Advanced
Hana Moore 20,Tableau,Beginner
Hana Moore 20,React for Finance,Expert
Alex Allen 21,Go for Healthcare,Intermediate
Alex Allen 21,Data Visualization Advanced,Intermediate
Alex Allen 21,Kubernetes (Practical),Intermediate
Alex Allen 21,MLOps (Intro),Advanced
Alex Allen 21,Airflow (Practical),Expert
Alex Allen 21,JavaScript (Practical),Advanced
Alex Allen 21,Apache Spark for Finance,Beginner
Anu Martin 22,DBT (Intro),Expert
Anu Martin 22,Scala (Practical),Advanced
Anu Martin 22,Cloud Computing (Practical),Expert
Anu Martin 22,Go,Beginner
Yuki Hall 23,Azure - Best Practices,Beginner
Yuki Hall 23,SQL Advanced,Advanced
Yuki Hall 23,Reinforcement Learning (Intro),Intermediate
Yuki Hall 23,Python for Healthcare,Beginner
Yuki Hall 23,PowerBI - Best Practices,Expert
Yuki Hall 23,Scikit-Learn (Intro),Intermediate
Drew Scott 24,DBT Advanced,Advanced
Drew Scott 24,Airflow (Practical),Expert
Drew Scott 24,NumPy (Practical),Intermediate
Drew Scott 24,SQL Fundamentals,Beginner
Zoe Garcia 25,BigQuery - Best Practices,Advanced
Zoe Garcia 25,Go - Best Practices,Advanced
Zoe Garcia 25,NumPy Advanced,Expert
Zoe Garcia 25,Airflow,Expert
Taylor King 26,PyTorch for Finance,Expert
Taylor King 26,NumPy (Practical),Beginner
Taylor King 26,Linux for Healthcare,Expert
Taylor King 26,Microservices (Intro),Beginner
Taylor King 26,Kafka for Finance,Beginner
Taylor King 26,ETL for Finance,Expert
Taylor King 26,Pandas (Intro),Intermediate
Rowan Smith 27,Go (Intro),Advanced
Rowan Smith 27,TensorFlow for Finance,Advanced
Rowan Smith 27,Deep Learning for Healthcare,Intermediate
Rowan Smith 27,Time Series Advanced,Advanced
Mateo Scott 28,Redshift (Practical),Expert
Mateo Scott 28,ETL,Beginner
Mateo Scott 28,Kubernetes,Advanced
Mateo Scott 28,Pandas for Finance,Expert
Mateo Scott 28,NumPy (Intro),Expert
Emma Moore 29,TensorFlow Fundamentals,Intermediate
Emma Moore 29,Azure,Advanced
Emma Moore 29,Redshift Fundamentals,Advanced
Casey Jackson 30,Cloud Computing Fundamentals,Beginner
Casey Jackson 30,Linux Advanced,Advanced
Casey Jackson 30,Redshift for Finance,Beginner
Casey Jackson 30,Hadoop (Practical),Expert
Casey Jackson 30,Linux,Intermediate
Casey Jackson 30,Deep Learning (Practical),Expert
Casey Jackson 30,Spark Streaming Advanced,Expert
Charlie Lee 31,Time Series,Expert
Charlie Lee 31,Cloud Computing - Best Practices,Intermediate
Charlie Lee 31,JavaScript Advanced,Expert
Charlie Lee 31,Linux (Intro),Beginner
Lucas Walker 32,BigQuery - Best Practices,Beginner
Lucas Walker 32,Kafka (Intro),Advanced
Lucas Walker 32,REST APIs Fundamentals,Expert
Zoe Hall 33,Spark Streaming - Best Practices,Expert
Zoe Hall 33,Azure (Practical),Beginner
Zoe Hall 33,Kafka,Expert
Zoe Hall 33,NumPy Advanced,Beginner
Zoe Hall 33,Snowflake - Best Practices,Beginner
Zoe Hall 33,PowerBI (Practical),Advanced
Parker Green 34,Redshift (Intro),Beginner
Parker Green 34,GCP,Expert
Parker Green 34,PyTorch - Best Practices,Beginner
Parker Green 34,React Advanced,Beginner
Parker Green 34,DBT Fundamentals,Intermediate
Mason Jackson 35,ETL,Expert
Mason Jackson 35,GCP for Healthcare,Beginner
Mason Jackson 35,Kubernetes - Best Practices,Advanced
Mason Jackson 35,Machine Learning for Healthcare,Beginner
Parker Johnson 36,Scikit-Learn (Practical),Beginner
Parker Johnson 36,Hadoop - Best Practices,Expert
Parker Johnson 36,Apache Spark (Practical),Intermediate
Parker Johnson 36,Time Series for Healthcare,Advanced
Olivia Anderson 37,NLP (Practical),Beginner
Olivia Anderson 37,Kafka Fundamentals,Advanced
Olivia Anderson 37,Redshift for Finance,Expert
Jamie Scott 38,MLOps Advanced,Intermediate
Jamie Scott 38,NLP Fundamentals,Intermediate
Jamie Scott 38,REST APIs (Practical),Advanced
Jamie Scott 38,Reinforcement Learning for Finance,Advanced
Jamie Scott 38,CI/CD - Best Practices,Beginner
Quinn Martinez 39,TensorFlow Advanced,Expert
Quinn Martinez 39,Computer Vision Advanced,Expert
Quinn Martinez 39,Cloud Computing - Best Practices,Intermediate
Quinn Martinez 39,Snowflake - Best Practices,Beginner
Quinn Martinez 39,GANs for Healthcare,Intermediate
Quinn Martinez 39,Redshift Advanced,Expert
Quinn Allen 40,Node.js (Practical),Advanced
Quinn Allen 40,Microservices (Intro),Expert
Quinn Allen 40,C++ Advanced,Advanced
Quinn Allen 40,Redshift (Intro),Beginner
Mia Scott 41,ETL for Healthcare,Intermediate
Mia Scott 41,Hadoop (Intro),Advanced
Mia Scott 41,ETL (Intro),Intermediate
Isabella Martin 42,Data Visualization - Best Practices,Expert
Isabella Martin 42,Python,Advanced
Isabella Martin 42,Kafka,Intermediate
Isabella Martin 42,Apache Spark Advanced,Expert
Isabella Martin 42,GANs for Healthcare,Advanced
Jordan Lee 43,TensorFlow Advanced,Expert
Jordan Lee 43,Computer Vision Fundamentals,Expert
Jordan Lee 43,Data Visualization - Best Practices,Beginner
Jordan Lee 43,DBT (Intro),Intermediate
Jordan Lee 43,Kafka Advanced,Advanced
Jordan Lee 43,GCP Advanced,Beginner
Cameron Allen 44,DBT (Practical),Expert
Cameron Allen 44,AWS for Healthcare,Advanced
Cameron Allen 44,CI/CD for Healthcare,Beginner
Cameron Allen 44,Python - Best Practices,Advanced
Cameron Allen 44,MLOps,Intermediate
Luca Hall 45,NLP for Healthcare,Intermediate
Luca Hall 45,TensorFlow for Healthcare,Advanced
Luca Hall 45,Apache Spark,Beginner
Luca Hall 45,Computer Vision (Intro),Advanced
Luca Hall 45,Spark Streaming (Practical),Beginner
